		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010111011  239  231  242  244  221  221  248  236  5.734863 0.676903 SUCCESS  66
010111111  264  256  279  256  241  229  244  225 10.581615 0.226550 SUCCESS  67
011000111  269  259  272  213  241  242  240  250 11.234062 0.188786 SUCCESS  68
011001111  244  240  246  220  237  235  275  212 11.531688 0.173353 SUCCESS  69
011010111  250  242  253  262  259  255  261  238  4.656631 0.793566 SUCCESS  70
011011111  242  240  237  281  239  234  238  246  6.786617 0.559821 SUCCESS  71
011101111  251  239  236  227  251  222  250  212  8.626391 0.374786 SUCCESS  72
011111111  263  240  260  247  235  257  228  235  5.193629 0.736695 SUCCESS  73
100000000  261  228  254  273  268  236  270  245 11.788007 0.160916 SUCCESS  74
100010000  225  244  256  257  277  259  236  257  9.347684 0.313820 SUCCESS  75
100100000  222  217  256  264  258  269  234  249 11.434245 0.178287 SUCCESS  76
100101000  243  251  245  280  238  258  234  259  8.007837 0.432705 SUCCESS  77
100110000  266  242  259  228  231  237  237  268  7.660430 0.467323 SUCCESS  78
100111000  222  245  226  247  231  226  287  275 17.452435 0.025728 SUCCESS  79
101000000  263  252  247  230  249  267  256  204 12.388555 0.134691 SUCCESS  80
101000100  225  246  253  235  247  235  251  250  2.985264 0.935279 SUCCESS  81
101001000  234  234  220  255  231  263  241  265  7.962293 0.437162 SUCCESS  82
101001100  265  253  214  223  245  265  251  244  9.965179 0.267478 SUCCESS  83
101010000  251  254  261  232  262  238  222  274  9.810541 0.278576 SUCCESS  84
101010100  221  240  239  257  249  260  256  220  7.382928 0.495936 SUCCESS  85
101011000  251  236  261  228  262  247  228  263  6.787676 0.559705 SUCCESS  86
101011100  255  253  235  255  234  232  229  246  3.729859 0.880637 SUCCESS  87
101100000  240  229  274  258  254  250  232  243  6.825806 0.555538 SUCCESS  88
101100100  235  248  237  225  256  227  225  228  6.672227 0.572374 SUCCESS  89
101101000  214  247  241  228  264  234  251  250  7.477194 0.486127 SUCCESS  90
101101100  241  258  274  238  222  233  234  256  8.427268 0.392884 SUCCESS  91
101110000  250  256  231  235  224  226  235  261  6.493227 0.592159 SUCCESS  92
101110100  228  265  213  227  268  276  246  239 15.140272 0.056475 SUCCESS  93
101111000  287  229  240  233  247  239  234  228 11.035998 0.199668 SUCCESS  94
101111100  237  273  244  235  245  254  237  251  4.932014 0.764817 SUCCESS  95
110000000  262  259  231  264  245  226  249  246  6.205134 0.624266 SUCCESS  96
110000010  230  253  246  228  243  231  229  233  4.524235 0.807004 SUCCESS  97
110000100  254  269  290  277  236  241  253  255 17.685452 0.023712 SUCCESS  98
110001000  241  228  243  258  259  244  257  254  4.016893 0.855596 SUCCESS  99
110001010  239  227  244  258  250  248  240  231  3.181210 0.922476 SUCCESS 100
110010000  239  221  247  246  264  261  232  246  5.944579 0.653440 SUCCESS 101
110010010  250  265  243  249  232  233  229  238  4.373833 0.821919 SUCCESS 102
110010100  237  266  248  268  235  269  223  235  9.938700 0.269355 SUCCESS 103
110011000  257  228  246  218  244  216  223  274 13.733698 0.088976 SUCCESS 104
110011010  249  247  232  240  258  265  276  242  7.816128 0.451634 SUCCESS 105
110100000  247  247  268  226  256  263  272  229 10.244799 0.248263 SUCCESS 106
110100010  245  267  224  217  239  247  244  258  8.015251 0.431982 SUCCESS 107
110100100  245  247  233  252  237  278  253  252  6.498523 0.591571 SUCCESS 108
110101000  250  261  258  232  259  231  233  259  5.920218 0.656168 SUCCESS 109
110101010  221  221  238  256  231  262  245  239  7.485668 0.485250 SUCCESS 110
110101100  235  239  247  226  251  234  234  231  3.689611 0.883986 SUCCESS 111
110110000  258  222  259  264  245  249  279  230 11.602652 0.169832 SUCCESS 112
110110010  255  238  235  237  254  232  229  218  6.124637 0.633273 SUCCESS 113
110110100  239  228  224  250  260  244  245  232  4.768902 0.781966 SUCCESS 114
110111000  259  225  220  226  246  226  250  256  8.495054 0.386663 SUCCESS 115
110111010  218  265  231  244  241  257  251  245  6.414849 0.600867 SUCCESS 116
110111100  246  259  252  229  240  243  251  251  2.662218 0.953737 SUCCESS 117
111000000  253  253  210  270  232  249  266  244 11.188518 0.191245 SUCCESS 118
111000010  240  256  274  241  209  206  235  264 17.903641 0.021961 SUCCESS 119
111000100  235  221  252  227  245  251  252  225  6.139465 0.631613 SUCCESS 120
111000110  240  233  257  241  258  208  228  259  9.723689 0.284957 SUCCESS 121
111001000  244  259  249  249  257  250  234  255  2.922773 0.939110 SUCCESS 122
111001010  217  248  254  257  227  255  262  236  7.673140 0.466032 SUCCESS 123
111001100  235  250  287  231  240  244  233  259 10.550899 0.228467 SUCCESS 124
111010000  244  250  233  250  242  250  265  227  4.070911 0.850670 SUCCESS 125
111010010  248  242  252  244  254  255  246  222  3.348559 0.910620 SUCCESS 126
111010100  257  269  230  251  231  236  275  238  9.576465 0.296019 SUCCESS 127
111010110  254  242  237  241  240  254  243  249  1.280004 0.995787 SUCCESS 128
111011000  253  252  262  286  218  246  267  255 15.003640 0.059075 SUCCESS 129
111011010  254  234  248  242  254  236  246  246  1.652831 0.989870 SUCCESS 130
111011100  256  245  225  232  241  244  254  262  4.581430 0.801232 SUCCESS 131
111100000  223  243  208  227  271  238  262  244 13.240126 0.103850 SUCCESS 132
111100010  234  247  244  205  242  249  233  206 13.756999 0.088323 SUCCESS 133
111100100  238  262  256  266  225  240  226  251  7.351153 0.499263 SUCCESS 134
111100110  226  252  254  247  232  262  241  264  5.794177 0.670275 SUCCESS 135
111101000  245  260  250  255  246  251  255  238  2.593372 0.957235 SUCCESS 136
111101010  260  250  246  234  232  256  257  234  4.020071 0.855308 SUCCESS 137
111101100  242  235  231  246  248  230  259  221  5.228581 0.732889 SUCCESS 138
111101110  245  239  239  211  240  250  265  255  7.440123 0.489974 SUCCESS 139
111110000  215  258  247  243  255  249  258  260  6.934900 0.543672 SUCCESS 140
111110010  227  260  255  246  240  275  234  234  7.805536 0.452693 SUCCESS 141
111110100  257  260  276  270  230  251  248  215 13.614012 0.092398 SUCCESS 142
111110110  270  245  232  255  244  237  252  238  4.600495 0.799297 SUCCESS 143
111111000  230  240  259  256  241  226  239  232  4.619560 0.797356 SUCCESS 144
111111010  271  279  270  244  245  248  250  235 11.615362 0.169208 SUCCESS 145
111111100  237  234  256  256  240  254  233  224  4.569779 0.802412 SUCCESS 146
111111110  263  240  260  247  235  257  228  235  5.193629 0.736695 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  257  249  268  233  233  254  253  260  6.081211 0.638135 SUCCESS   0
000000011  250  224  245  241  223  249  242  221  6.182891 0.626754 SUCCESS   1
000000101  253  246  232  216  236  239  229  248  5.746514 0.675602 SUCCESS   2
000000111  224  247  254  237  263  232  230  226  6.748487 0.563996 SUCCESS   3
000001001  233  222  231  235  236  225  242  240  5.601408 0.691781 SUCCESS   4
000001011  231  238  230  221  242  240  230  271  7.996186 0.433843 SUCCESS   5
000001101  261  264  231  233  246  246  264  227  7.080006 0.528026 SUCCESS   6
000001111  240  260  259  244  276  212  228  241 11.897101 0.155854 SUCCESS   7
000010001  242  232  231  243  248  233  220  240  4.503051 0.809128 SUCCESS   8
000010011  241  223  240  239  247  227  244  235  3.745746 0.879304 SUCCESS   9
000010101  271  225  248  245  242  277  233  237 10.013901 0.264052 SUCCESS  10
000010111  240  234  232  211  246  248  227  243  7.104367 0.525415 SUCCESS  11
000011001  265  235  253  261  229  255  249  253  5.643775 0.687064 SUCCESS  12
000011011  252  260  240  234  259  238  257  226  5.027339 0.754650 SUCCESS  13
000011101  235  223  224  245  238  224  247  271  8.932491 0.348023 SUCCESS  14
000011111  258  260  235  259  245  223  251  234  5.702029 0.680569 SUCCESS  15
000100011  261  245  237  259  245  230  234  228  4.746660 0.784278 SUCCESS  16
000100101  238  237  234  238  260  270  263  231  7.110722 0.524735 SUCCESS  17
000100111  233  219  227  251  247  217  281  255 14.055685 0.080326 SUCCESS  18
000101001  269  257  235  229  248  237  261  219  8.805390 0.358978 SUCCESS  19
000101011  251  223  231  238  253  252  243  243  3.586871 0.892344 SUCCESS  20
000101101  223  241  257  257  254  249  253  262  5.537858 0.698842 SUCCESS  21
000101111  227  231  235  241  268  243  229  230  6.601263 0.580199 SUCCESS  22
000110011  257  220  244  279  229  264  252  250 11.372813 0.181456 SUCCESS  23
000110101  251  218  253  255  249  262  249  242  5.500787 0.702953 SUCCESS  24
000110111  252  275  249  250  267  246  244  219  9.454660 0.305404 SUCCESS  25
000111001  221  248  248  238  247  262  241  237  4.196952 0.838931 SUCCESS  26
000111011  237  245  236  234  238  235  263  270  5.789940 0.670748 SUCCESS  27
000111101  244  235  249  230  253  216  247  242  5.037931 0.753514 SUCCESS  28
000111111  261  275  248  242  241  226  250  241  6.948670 0.542181 SUCCESS  29
001000011  254  283  238  270  254  253  254  237 11.186399 0.191360 SUCCESS  30
001000101  228  238  236  245  256  238  229  268  5.684023 0.682578 SUCCESS  31
