		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 36.605469	M = 18750	N = 8	m = 9	n = 150000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000001101   38   33   33   33   40   28   38   36  3.638768 0.888157 SUCCESS   6
000001111   40   43   33   49   35   43   38   33  7.836382 0.449614 SUCCESS   7
000010001   48   38   32   38   36   51   41   50 15.851634 0.044554 SUCCESS   8
000010011   31   34   36   26   40   36   39   38  4.819078 0.776727 SUCCESS   9
000010101   49   48   37   34   36   31   44   29 12.278267 0.139213 SUCCESS  10
000010111   31   36   37   36   42   38   27   27  7.001405 0.536481 SUCCESS  11
000011001   27   38   29   34   42   42   38   37  6.189597 0.626003 SUCCESS  12
000011011   42   35   28   36   36   30   38   42  5.116307 0.745076 SUCCESS  13
000011101   40   30   38   41   24   31   48   48 14.867932 0.061765 SUCCESS  14
000011111   39   36   33   34   21   27   36   37 10.230322 0.249231 SUCCESS  15
000100011   35   35   37   33   44   56   48   43 17.507687 0.025236 SUCCESS  16
000100101   27   37   33   48   35   36   25   30 11.764350 0.162032 SUCCESS  17
000100111   29   27   41   34   30   40   44   36  8.089479 0.424779 SUCCESS  18
000101001   43   36   35   39   29   34   41   37  3.775357 0.876801 SUCCESS  19
000101011   40   36   37   36   34   30   35   32  2.446543 0.964177 SUCCESS  20
000101101   34   37   41   36   38   30   34   39  2.392923 0.966537 SUCCESS  21
000101111   31   42   31   39   40   30   26   36  7.503848 0.483370 SUCCESS  22
000110011   29   31   38   34   33   46   44   39  7.334160 0.501045 SUCCESS  23
000110101   32   46   39   30   31   30   36   43  7.771288 0.456124 SUCCESS  24
000110111   31   36   30   35   40   45   47   33  7.937665 0.439583 SUCCESS  25
000111001   28   38   32   28   39   48   36   35  8.749473 0.363869 SUCCESS  26
000111011   31   37   32   40   33   30   40   33  4.108553 0.847199 SUCCESS  27
000111101   45   37   40   44   39   46   39   37  6.685641 0.570898 SUCCESS  28
000111111   44   41   37   42   19   40   46   36 14.499209 0.069646 SUCCESS  29
001000011   44   37   40   44   35   30   36   39  4.896089 0.768622 SUCCESS  30
001000101   41   40   32   43   34   39   37   41  3.528439 0.896971 SUCCESS  31
001000111   31   26   37   40   34   36   44   45  8.130963 0.420783 SUCCESS  32
001001011   34   27   29   41   34   33   26   39  8.874587 0.352986 SUCCESS  33
001001101   38   37   30   30   37   28   30   42  6.674387 0.572136 SUCCESS  34
001001111   31   38   47   29   36   38   34   45  7.875219 0.445753 SUCCESS  35
001010011   45   30   36   30   38   43   38   38  5.785128 0.671286 SUCCESS  36
001010101   36   42   30   31   40   29   38   26  8.143100 0.419618 SUCCESS  37
001010111   31   30   28   31   34   30   29   26 11.333622 0.183503 SUCCESS  38
001011011   28   33   40   36   37   35   29   43  5.660455 0.685205 SUCCESS  39
001011101   52   35   30   35   36   39   21   28 17.213988 0.027956 SUCCESS  40
001011111   34   44   28   45   38   35   40   42  7.093200 0.526611 SUCCESS  41
001100101   41   39   47   31   38   34   38   42  5.770123 0.672964 SUCCESS  42
001100111   33   36   36   33   41   45   49   33  7.997023 0.433761 SUCCESS  43
001101011   38   46   33   25   34   37   31   30  9.035007 0.339351 SUCCESS  44
001101101   42   35   45   41   48   40   43   32  9.177112 0.327576 SUCCESS  45
001101111   26   30   30   40   38   27   31   36  9.525755 0.299900 SUCCESS  46
001110101   30   29   35   35   29   34   52   49 15.869949 0.044280 SUCCESS  47
001110111   28   28   31   41   38   40   43   28  9.243089 0.322206 SUCCESS  48
001111011   44   42   39   38   35   43   36   38  3.876199 0.868117 SUCCESS  49
001111101   42   37   39   30   32   38   36   39  3.046959 0.931376 SUCCESS  50
001111111   44   34   41   37   34   37   40   40  3.133016 0.925735 SUCCESS  51
010000011   34   40   36   44   34   39   32   41  3.570143 0.893678 SUCCESS  52
010000111   49   33   44   34   31   32   36   39  8.101174 0.423650 SUCCESS  53
010001011   35   43   32   51   36   34   34   34  8.264683 0.408052 SUCCESS  54
010001111   38   31   38   41   32   37   37   48  5.817785 0.667634 SUCCESS  55
010010011   30   46   42   23   41   30   37   28 13.649227 0.091379 SUCCESS  56
010010111   28   33   30   31   35   40   22   37 11.006383 0.201338 SUCCESS  57
010011011   36   38   43   39   36   30   34   36  2.826961 0.944743 SUCCESS  58
010011111   37   39   44   29   40   42   27   40  7.423307 0.491724 SUCCESS  59
010100011   36   38   40   31   35   43   36   46  5.009067 0.756607 SUCCESS  60
010100111   38   34   31   34   35   42   26   41  5.942900 0.653628 SUCCESS  61
010101011   35   47   29   35   41   30   36   28  8.710858 0.367272 SUCCESS  62
010101111   40   31   34   27   35   33   42   29  6.906301 0.546775 SUCCESS  63
010110011   45   35   34   29   45   32   32   41  7.622563 0.471180 SUCCESS  64
010110111   33   33   40   44   39   40   36   47  6.153630 0.630028 SUCCESS  65
010111011   44   44   35   35   37   28   23   33 10.925842 0.205937 SUCCESS  66
010111111   34   42   34   39   44   33   31   39  4.328331 0.826352 SUCCESS  67
011000111   40   43   42   42   27   40   32   33  7.021927 0.534269 SUCCESS  68
011001111   34   39   41   35   39   37   47   43  5.344911 0.720155 SUCCESS  69
011010111   37   60   35   29   39   34   31   36 18.420777 0.018284 SUCCESS  70
011011111   30   31   33   41   38   32   28   35  5.850884 0.663931 SUCCESS  71
011101111   41   36   32   38   39   31   35   25  6.136198 0.631979 SUCCESS  72
011111111   36   41   31   49   40   33   38   41  7.075326 0.528528 SUCCESS  73
100000000   33   34   29   46   40   33   35   34  5.642581 0.687197 SUCCESS  74
100010000   34   39   41   34   48   34   38   44  6.549052 0.585972 SUCCESS  75
100100000   45   47   37   43   30   44   45   34 11.160183 0.192787 SUCCESS  76
100101000   23   35   32   39   34   36   44   40  8.134053 0.420486 SUCCESS  77
100110000   38   36   44   33   46   34   35   36  4.744495 0.784503 SUCCESS  78
100111000   34   56   35   32   36   59   37   45 27.657823 0.000544 FAILURE  79
101000000   47   36   29   37   29   26   40   35  9.909041 0.271468 SUCCESS  80
101000100   28   33   29   38   31   36   41   32  6.189818 0.625979 SUCCESS  81
101001000   40   34   36   39   28   46   48   29 10.574772 0.226976 SUCCESS  82
101001100   49   25   40   42   39   29   41   35 11.704551 0.164881 SUCCESS  83
101010000   34   39   40   35   25   34   39   28  7.001405 0.536481 SUCCESS  84
101010100   37   29   30   35   25   30   34   45 10.161917 0.253845 SUCCESS  85
101011000   41   42   28   45   39   44   44   33  9.067223 0.336657 SUCCESS  86
101011100   30   39   34   32   37   24   33   33  7.411833 0.492919 SUCCESS  87
101100000   38   40   35   37   34   37   45   36  2.654405 0.954142 SUCCESS  88
101100100   26   30   54   41   35   30   44   47 19.401831 0.012852 SUCCESS  89
101101000   40   36   33   35   34   35   39   28  3.293877 0.914585 SUCCESS  90
101101100   29   29   47   43   31   41   40   39  9.394462 0.310120 SUCCESS  91
101110000   34   31   33   38   31   30   43   43  5.930984 0.654963 SUCCESS  92
101110100   43   44   25   41   39   44   27   30 12.593590 0.126619 SUCCESS  93
101111000   26   31   35   28   37   35   28   39  8.559485 0.380807 SUCCESS  94
101111100   36   46   31   38   37   46   39   45  8.094996 0.424246 SUCCESS  95
110000000   25   35   40   44   51   35   31   45 14.549740 0.068515 SUCCESS  96
110000010   45   44   29   31   38   30   31   37  8.235115 0.410847 SUCCESS  97
110000100   32   44   34   50   38   41   42   42  9.646897 0.290689 SUCCESS  98
110001000   36   41   42   41   46   43   45   39  7.723184 0.460967 SUCCESS  99
110001010   37   34   35   36   52   38   33   45  9.385415 0.310833 SUCCESS 100
110010000   42   34   37   38   35   34   42   36  2.169835 0.975357 SUCCESS 101
110010010   31   39   39   24   38   35   41   32  6.971616 0.539698 SUCCESS 102
110010100   38   29   31   36   34   41   46   37  5.820875 0.667289 SUCCESS 103
110011000   34   38   42   32   44   45   36   43  6.367670 0.606120 SUCCESS 104
110011010   33   28   33   36   32   37   39   34  3.793451 0.875262 SUCCESS 105
110100000   41   37   25   39   31   32   35   43  7.230230 0.512009 SUCCESS 106
110100010   34   38   32   42   25   39   39   26  8.972560 0.344616 SUCCESS 107
110100100   32   34   43   36   25   40   31   29  8.606927 0.376532 SUCCESS 108
110101000   34   40   39   32   31   35   38   37  2.297818 0.970493 SUCCESS 109
110101010   36   34   29   39   26   31   32   47  9.712874 0.285759 SUCCESS 110
110101100   44   31   33   35   35   34   44   24  9.168727 0.328263 SUCCESS 111
110110000   34   36   33   38   35   38   42   45  3.564185 0.894152 SUCCESS 112
110110010   29   28   43   47   36   38   45   48 13.654743 0.091220 SUCCESS 113
110110100   50   44   30   31   36   41   39   29 11.083173 0.197031 SUCCESS 114
110111000   44   32   44   30   45   28   32   37  9.605634 0.293803 SUCCESS 115
110111010   37   37   38   41   34   40   27   34  3.924082 0.863907 SUCCESS 116
110111100   31   31   30   30   39   35   29   37  6.112587 0.634622 SUCCESS 117
111000000   31   49   32   44   38   41   32   42  9.391373 0.310363 SUCCESS 118
111000010   36   34   36   37   31   44   37   34  2.844834 0.943714 SUCCESS 119
111000100   39   26   46   36   39   37   40   44  7.878087 0.445469 SUCCESS 120
111000110   33   43   45   41   40   41   40   39  5.416184 0.712307 SUCCESS 121
111001000   35   39   36   42   34   33   42   36  2.458238 0.963650 SUCCESS 122
111001010   36   29   26   38   35   39   38   34  5.357268 0.718797 SUCCESS 123
111001100   31   29   34   25   38   46   47   33 12.483701 0.130892 SUCCESS 124
111010000   41   42   30   37   39   26   38   41  6.543315 0.586607 SUCCESS 125
111010010   26   34   37   34   27   44   28   30 11.039041 0.199497 SUCCESS 126
111010100   34   41   46   32   35   42   34   42  5.737465 0.676613 SUCCESS 127
111010110   42   32   39   42   41   33   44   35  4.934704 0.764532 SUCCESS 128
111011000   24   38   27   39   42   34   42   40  9.471914 0.304061 SUCCESS 129
111011010   37   49   40   41   37   37   31   25  9.914778 0.271058 SUCCESS 130
111011100   42   33   39   40   40   24   38   36  6.555231 0.585288 SUCCESS 131
111100000   34   47   38   38   40   33   25   41  8.395535 0.395817 SUCCESS 132
111100010   36   38   41   35   39   36   36   42  1.688135 0.989127 SUCCESS 133
111100100   41   41   41   37   34   32   35   36  2.514727 0.961041 SUCCESS 134
111100110   33   30   32   33   32   33   41   38  4.132385 0.844986 SUCCESS 135
111101000   35   35   37   41   36   25   42   29  6.965658 0.540342 SUCCESS 136
111101010   42   37   35   30   34   42   40   33  3.837804 0.871453 SUCCESS 137
111101100   38   41   33   35   29   40   41   43  4.699922 0.789114 SUCCESS 138
111101110   40   36   32   35   45   29   29   40  6.590978 0.581335 SUCCESS 139
111110000   36   45   32   39   45   47   36   34  8.005849 0.432899 SUCCESS 140
111110010   38   31   28   42   31   24   28   43 12.477964 0.131118 SUCCESS 141
111110100   44   20   36   29   33   38   34   34 11.782223 0.161188 SUCCESS 142
111110110   30   49   36   38   26   33   36   35  9.263831 0.320531 SUCCESS 143
111111000   44   35   42   44   43   48   39   33  9.334663 0.314855 SUCCESS 144
111111010   38   25   43   33   30   35   37   37  6.695129 0.569854 SUCCESS 145
111111100   44   35   35   46   39   32   28   35  7.108205 0.525005 SUCCESS 146
111111110   36   41   31   49   40   33   38   41  7.075326 0.528528 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 36.605469	M = 18750	N = 8	m = 9	n = 150000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   27   25   42   38   45   37   39   34  9.635423 0.291552 SUCCESS   0
000000011   36   36   34   32   36   33   35   28  3.353455 0.910261 SUCCESS   1
000000101   38   34   35   42   44   40   36   44  4.565982 0.802796 SUCCESS   2
000000111   37   39   37   34   40   34   39   27  3.647595 0.887438 SUCCESS   3
000001001   36   30   36   39   33   31   34   33  3.228562 0.919206 SUCCESS   4
000001011   39   38   41   33   35   50   34   37  6.465864 0.595197 SUCCESS   5
000001101   35   38   27   38   32   40   34   37  3.909298 0.865213 SUCCESS   6
000001111   38   43   37   42   33   46   37   30  6.132888 0.632349 SUCCESS   7
000010001   24   33   39   33   32   29   34   38  7.863744 0.446892 SUCCESS   8
000010011   34   37   33   35   49   34   28   34  7.450228 0.488924 SUCCESS   9
000010101   35   34   38   44   26   25   33   42 10.033935 0.262652 SUCCESS  10
000010111   49   42   35   35   33   50   32   35 11.413059 0.179375 SUCCESS  11
000011001   46   27   32   41   47   41   32   37 10.443921 0.235240 SUCCESS  12
000011011   38   56   29   38   35   38   36   32 13.104859 0.108292 SUCCESS  13
000011101   24   42   46   33   38   39   35   29 10.093292 0.258539 SUCCESS  14
000011111   40   33   36   37   31   38   39   27  4.417698 0.817610 SUCCESS  15
000100011   14   34   41   38   29   36   34   41 17.606542 0.024378 SUCCESS  16
000100101   35   38   37   39   35   37   35   34  0.635807 0.999670 SUCCESS  17
000100111   37   36   34   34   46   38   31   34  4.025144 0.854848 SUCCESS  18
000101001   42   34   34   34   43   38   27   40  5.538430 0.698779 SUCCESS  19
000101011   35   41   40   34   30   33   43   38  3.944824 0.862067 SUCCESS  20
000101101   39   32   41   32   24   43   34   48 11.407322 0.179670 SUCCESS  21
000101111   50   45   37   34   38   39   35   32  8.142658 0.419660 SUCCESS  22
000110011   38   29   31   34   47   43   26   35 10.224144 0.249645 SUCCESS  23
000110101   34   36   30   39   29   42   38   33  4.474187 0.812010 SUCCESS  24
000110111   41   48   24   39   33   37   40   30 10.791902 0.213771 SUCCESS  25
000111001   41   40   43   30   36   27   43   32  7.628521 0.470572 SUCCESS  26
000111011   35   49   39   37   41   42   31   35  6.905859 0.546823 SUCCESS  27
000111101   33   46   35   46   31   35   36   38  6.451079 0.596839 SUCCESS  28
000111111   28   33   43   41   34   30   37   29  7.221403 0.512944 SUCCESS  29
001000011   43   30   29   34   39   45   30   37  7.601821 0.473299 SUCCESS  30
001000101   31   31   35   34   33   33   31   46  6.154071 0.629978 SUCCESS  31
